Dimerization,ZL,error,N
0.0,0.1360778281669222,,1.0
0.05,0.4931086820159651,,1.0
0.1,0.5735844190870538,,1.0
0.15,0.7246540181842169,,1.0
0.2,0.6917528968424714,,1.0
0.25,0.7073332647395719,,1.0
0.3,0.7107345520430548,,1.0
0.35,0.7392067880254236,,1.0
0.4,0.7855420634304593,,1.0
0.45,0.8190399412293972,,1.0
0.5,0.8389214767738785,,1.0
0.55,0.8465326953058009,,1.0
0.6,0.8632526242321588,,1.0
0.65,0.8687050297280435,,1.0
0.7,0.8719690883359132,,1.0
0.75,0.8815581572307474,,1.0
0.8,0.886883510820828,,1.0
0.85,0.8924235268518035,,1.0
0.9,0.8962519217607146,,1.0
0.95,0.8995279601519923,,1.0
1.0,0.902225248395426,,1.0
