Dimerization,ZL,error,N
0.0,-0.6565913443391853,,1.0
0.05,-0.5909780480010836,,1.0
0.1,0.1037821851835497,,1.0
0.15,0.4241546429823465,,1.0
0.2,0.5797111120309626,,1.0
0.25,0.6815135193221951,,1.0
0.3,0.7295910931702856,,1.0
0.35,0.7667400544088714,,1.0
0.4,0.786184519557342,,1.0
0.45,0.8091279042803579,,1.0
0.5,0.8229333404722419,,1.0
0.55,0.8431534400605164,,1.0
0.6,0.857989903497863,,1.0
0.65,0.8636596837462737,,1.0
0.7,0.8769575788531496,,1.0
0.75,0.8815140714493555,,1.0
0.8,0.8868669082543049,,1.0
0.85,0.8910610665582102,,1.0
0.9,0.8956729953860979,,1.0
0.95,0.8990409792775156,,1.0
1.0,0.9022252483954089,,1.0
